,id,sales,best_smape_test,best_model,model_exp,model_ml,feature_drop,smape_holt_test,smape_holt_train,smape_holt,smape_winter_test,smape_winter_train,smape_winter,xgboost_test,svr_test,xgboost_train,svr_train,xgboost_all,svr_all
0,176117,214.0,3.1660231660231664,ML,Holt's,xgboost,"['price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",11.611721611721611,7.972139148609737,9.07088102426615,26.748737373737374,26.25599625599625,26.40474829154074,5.833333333333333,6.875000000000001,3.1660231660231664,4.757614757614759,3.971248876909255,5.396825396825396
1,184623,315.0,5.626925626925627,ML,Holt's,xgboost,"['employee_nums', 'holiday_nums']",8.292540792540795,12.21473964121023,11.03067961142323,6.55011655011655,14.019595130276244,11.764658200416713,3.75,4.196428571428571,5.626925626925627,9.526539526539525,5.060306569740531,7.917449426883389
2,184626,337.0,5.404556581027169,ML,Winter's,xgboost,"['employee_nums', 'holiday_nums', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",8.50728264790765,9.081146449567502,8.90790454717962,6.684365981240982,7.859941404833043,7.505050710918459,4.371392496392496,4.371392496392496,5.404556581027169,5.947827124297713,5.092657989439344,5.471922330967835
3,244790,237.0,5.353925353925354,ML,Holt's,xgboost,"['employee_nums', 'holiday_nums', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",8.204365079365079,12.28293103293103,11.051665839401688,13.072916666666668,13.5548198048198,13.409339612169799,4.7023809523809526,4.851190476190475,5.353925353925354,8.507078507078507,5.157232704402516,7.403414195867026
4,276612,337.0,6.972701445082217,ML,Winter's,xgboost,"['employee_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",28.141233766233764,10.602193939860415,15.896998415746708,25.016233766233764,10.397914617893976,14.810992096638062,22.668650793650794,23.392857142857142,6.972701445082217,7.275255222934916,11.711101248423674,12.140946368571814
5,301978,163.0,1.3513513513513513,ML,Holt's,xgboost,"['holiday_nums', 'price']",14.189213564213565,14.315744315744316,14.277546353018048,24.729662698412696,38.31402831402831,34.213087750823604,10.128968253968255,14.08730158730159,1.3513513513513513,4.504504504504505,4.001197963462115,7.397424378556454
6,318083,1126.0,9.306262404088491,ML,Holt's,xgboost,['holiday_nums'],8.956548889710982,16.584526078431477,14.28174051202529,12.689657927626191,22.05631356098503,19.2286439358201,9.645168449262211,15.923074542678822,9.306262404088491,18.738189269931237,9.408573663008859,17.88834331453428
7,318084,1338.0,12.428076785074685,ML,Winter's,xgboost,"['holiday_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",17.404062530822866,20.403011203782288,19.497668208171902,18.177281360778814,18.984655723524277,18.740920066846407,32.92709758627208,27.096552673589297,12.428076785074685,17.88390707596498,18.61646042317201,20.665083105436473
8,328510,811.0,6.97134950379052,ML,Holt's,xgboost,"['holiday_nums', 'price']",11.832556740644977,10.932812589593158,11.204433465382383,10.083943833943835,13.747862719610032,12.641773999408917,8.872004731379732,9.874263342333995,6.97134950379052,10.51343964567026,7.5451322140061325,10.320480761644218
9,328519,341.0,4.299605483816011,ML,Winter's,xgboost,['price'],4.041542607719078,11.755061755061757,9.426452201146983,7.161963853140323,11.226971226971225,9.999799189588312,6.91394798012445,7.918054168054168,4.299605483816011,10.458737958737958,5.08884095439969,9.69173907853153
10,9171479,350.0,7.82010782010782,ML,Holt's,xgboost,"['holiday_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",13.332284272633817,11.599495275965864,12.12260138816751,16.331767191142195,16.158527695679396,16.210826411290807,10.186688311688311,12.80411877394636,7.82010782010782,8.853998853998851,8.5345472137925,10.046487886435836
11,9171482,616.0,12.583804479938458,Exp,Winter's,xgboost,"['price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",11.574112426157622,13.075983155099946,12.622588218060752,10.929794476305617,12.583804479938458,12.084480705256844,10.141403735153736,8.942917462654306,12.868261627852418,12.901512899511191,12.045059245150929,11.706465220460053
12,9171483,145.0,3.3462033462033456,ML,Holt's,svr,"['employee_nums', 'holiday_nums', 'price']",14.627976190476188,11.05105105105105,12.130877508235997,34.19871794871795,30.82368082368082,31.84255995576751,9.305555555555555,10.15625,3.3462033462033456,3.3462033462033456,5.145253069781371,5.402066486972147
13,9421746,129.0,3.6036036036036037,ML,Winter's,xgboost,no,30.625000000000004,36.61947661947662,34.80982330038934,13.710317460317462,14.330954330954333,14.143592256799803,5.208333333333333,7.291666666666666,3.6036036036036037,5.8558558558558556,4.088050314465409,6.2893081761006275
14,14090062,341.0,7.018447018447019,ML,Holt's,svr,no,4.908369816458051,9.408730511671687,8.050131056512855,18.174585508660588,24.149844149844142,22.345992484581185,3.8310096765979114,4.035258042610983,7.018447018447019,7.018447018447019,6.056201783171815,6.117861667251233
15,14090272,226.0,12.641082641082638,ML,Winter's,xgboost,no,32.291666666666664,23.41955341955342,26.0979272300027,32.73809523809524,22.316032316032317,25.46231546231546,17.38324175824176,32.11538461538462,12.641082641082638,18.7070662070662,14.07267784626275,22.754860443539684
16,14121886,243.0,5.731445731445731,ML,Holt's,xgboost,"['holiday_nums', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",16.03061868686869,9.2498004998005,11.29683995250033,13.50579455266955,17.192612192612195,16.079610640931396,14.556277056277056,15.391899766899767,5.731445731445731,5.835395835395835,8.395545754036322,8.72037815434042
17,14140290,409.0,11.072012780519982,ML,Holt's,xgboost,"['holiday_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",8.699026345601423,15.760303980252827,13.62859752450901,10.09741655832987,20.14188928460701,17.10959563139127,7.580778274228353,7.525266486179801,11.072012780519982,14.66108886959607,10.018055193714961,12.506878338753424
18,14140291,318.0,5.389415389415389,ML,Holt's,xgboost,['price'],14.152034138247371,10.572707933389047,11.653259240516089,6.635065812455518,11.273066133747248,9.87291509335729,7.255626318126318,13.567855755355756,5.389415389415389,8.532916032916035,5.9527998207243495,10.052897835916701
19,14162110,99.0,18.01801801801802,ML,Holt's,xgboost,"['holiday_nums', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",28.95833333333333,59.72972972972973,50.44025157232706,22.916666666666664,60.18018018018017,48.930817610062896,13.125,13.645833333333336,18.01801801801802,29.72972972972973,16.54088050314465,24.874213836477985
20,14162400,102.0,2.5225225225225225,ML,Holt's,xgboost,"['employee_nums', 'price']",17.291666666666668,13.279708279708277,14.490865528601374,20.416666666666668,14.485784485784487,16.276239483786654,3.125,9.375,2.5225225225225225,4.024024024024024,2.7044025157232707,5.639412997903563
21,14164567,130.0,0.9009009009009009,ML,Winter's,xgboost,no,10.613344021819254,16.81038181038181,14.939577949683681,26.709043101506335,14.029677073155334,17.8574102137896,13.905677655677657,12.291666666666668,0.9009009009009009,13.796653796653796,4.826871241965582,13.34231805929919
22,16007581,2546.0,3.867151100392778,ML,Winter's,xgboost,['holiday_nums'],5.923502805582705,6.6446372414951185,6.4269362797102385,4.289399284441987,6.062132016613186,5.52696741822188,7.4035296710753205,12.342228315193475,3.867151100392778,5.518066804927791,4.934737083995054,7.578191034441961
23,16009234,342.0,4.887044887044888,ML,Winter's,xgboost,"['employee_nums', 'holiday_nums', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",8.933074874686715,19.570833247303835,16.359434493306214,5.465581567555251,14.604824465505578,11.845807741596046,8.053300865800868,4.303300865800865,4.887044887044888,11.585171585171587,5.842895748556125,9.386870990644574
24,16010589,476.0,6.72459512242794,ML,Holt's,xgboost,"['holiday_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",12.77515430009036,10.230772702134932,10.998887901517703,11.280913757136583,11.317567010291468,11.30650187726358,15.113504777227602,15.275635822510822,6.72459512242794,7.870528768361587,9.25709615029199,10.106032784708527
25,16010612,375.0,6.887031887031887,ML,Holt's,xgboost,no,9.441808191808192,9.176896537577651,9.256869867156684,12.232628482628483,9.978446162656688,10.658954032836851,9.646117771117773,9.16534854034854,6.887031887031887,9.43412666322883,7.719963474680454,9.352986097831007
